,ID,Name,Park Code,Latitude,Longitude,Number Of Sites Reservable,Number Of Sites First Come First Serve,Accessibility Classifications,Cost,Zip,City
79,6BCF7F8D-71B1-4B29-A925-5DCFDD0CB38E,Buckeye Flat Campground,seki,36.52243302377206,-118.76410649285587,27,0,['Limited Development Campground'],28.0,93271,Sequoia National Park
80,9607DA82-8507-4D92-A3DB-5FE81E4CD5C8,Buckhorn Campground Loop A,chic,34.4296702499,-96.9881113658,0,19,['Developed Campground'],16.0,,
81,90EF147D-A958-4C60-9414-193FC048A66C,Buckhorn Campground Loop B,chic,34.4271613463,-96.9920669817,0,25,['Developed Campground'],16.0,,
82,FFC17012-1267-43CF-B294-D56FD7F89E47,Buckhorn Campground Loop C,chic,34.4330928671,-96.9968411343,41,0,['Developed Campground'],16.0,,
83,E7B327F1-7369-40B6-BC6D-35221C41F9D6,Buckhorn Campground Loop D,chic,34.432766546,-96.9974819194,0,48,['Developed Campground'],16.0,,
84,5AA6174E-B53C-46F7-9F7B-CC275DD91CBC,Buffalo Point Campground,buff,36.0715554992,-92.5555762993,56,45,['Developed Campground'],30.0,72687,Yellville
85,DAC620D3-F276-4073-9DBF-0815C1A74BBA,Bugbee Canyon,lamr,35.7248098991,-101.5901470184,0,10,['Primitive Camping Areas'],0.0,79036,Fritch
86,4285489C-2D25-4967-91E7-18597C645A0F,Bullfrog RV & Campground,glca,37.5199691549143,-110.721029500387,24,75,['Limited Development Campground'],46.0,84533,Lake Powell
87,46473049-16E4-4629-A3AD-00E108D06584,Burns Lake,bicy,25.8931188486191,-81.2297696743782,15,0,[],24.0,34141,ochopee
88,46B56158-098F-454B-AA80-B4F167736A29,Burnwood Group Campsite,neri,38.073636,-81.077535,1,0,['Primitive Camping Areas'],75.0,25862,Lansing
89,68B2FAB6-1857-4C5D-B025-1AA2712A7BFD,Bush Mountain Wilderness Campground,gumo,31.92641602069643,-104.87668543567212,5,0,['Designated Primitive Campsites'],6.0,,
90,8AA8C347-B5A7-47F2-A2D4-A37635F8E4B3,Butte Lake Campground,lavo,40.56480115555671,-121.30576429271788,107,0,['Limited Development Campground'],22.0,96071,Old Station
91,9CAD260F-57A8-4814-87FA-E61D14108C81,Cabin Camp 1 (By Reservation Only),prwi,38.59701768873082,-77.35605254877296,1,0,['Developed Campground'],670.0,22025,Dumfries
92,CBA8D848-FB74-4492-9E5D-E1E4979A976B,Cabin Camp 2 (By Reservation Only),prwi,38.5813750413292,-77.4157374023348,1,0,['Developed Campground'],630.0,,
93,B26D8D06-514E-4230-A314-CF0ED2023B98,Cabin Camp 3 (By Reservation Only),prwi,38.56367216064515,-77.36493032549049,13,0,['Developed Campground'],475.0,55347,Triangle
94,67817EE3-C197-45DD-AEF0-E5E86061691B,Cabin Camp 4 (By Reservation Only),prwi,38.59150925969603,-77.35386082375908,1,0,['Developed Campground'],650.0,22025,Dumfries
95,2D5D7B26-19D2-4583-A370-86575EA22C2F,Cabin Camp 5 (By Reservation Only),prwi,38.57577906331334,-77.41256789301235,1,0,['Developed Campground'],790.0,22172,Triangle
96,EE34E034-775B-4EB2-ABEC-F23AF045D3AB,Cacapon Junction Hiker-Biker Campsite,choh,39.621284,-78.279305,0,1,['Designated Primitive Campsites'],0.0,21750,Woodmont
97,711EFDE3-F836-4A4C-B58C-D3E28386BDE4,Cades Cove Campground,grsm,35.60272464725332,-83.77629277369829,164,0,['Developed Campground'],30.0,37882,Townsend
98,E4E470BE-46E5-44B6-A65A-31CFAAB939DB,Cades Cove Group Campground,grsm,35.60389164669365,-83.77130987431053,4,0,[],35.0,37882,Townsend
99,9EBA8986-2A1F-4207-82D1-F155A10BEB35,Calico Rocks Hiker-Biker Campsite,choh,39.271168,-77.535582,0,1,['Primitive Camping Areas'],0.0,21777,Point of Rocks
100,34A6DDB4-815E-484B-A366-6DB3024920B3,Callville Bay Campground (Lake Mead),lake,36.1378088551872,-114.72861216150868,0,52,[],20.0,,
101,8131F253-D893-42FA-A162-4CDE07363AD5,Callville Bay RV Park (Lake Mead),lake,36.143263,-114.725594,0,0,['Developed Campground'],,89040,Overton
102,8F36DEB6-298E-4214-A677-064BD457996A,Camp 4 Campground,yose,37.7420541114337,-119.602253054678,0,25,['Developed Campground'],10.0,,
103,D378656F-72C7-4F18-A3CC-741CBEE9B394,Camp Greentop,cato,39.64454144079283,-77.4765647339641,1,1,['Developed Campground'],1000.0,21788,Thurmont
104,9EE76DDC-80AB-4283-BCE9-F85952ED03E1,Camp Misty Mount,cato,39.6418851453505,-77.4484489543919,30,0,['Developed Campground'],50.0,21788,Thurmont
105,905221FE-094D-4E73-90EB-205CBCAD69AA,Camp Round Meadow,cato,39.6449169814922,-77.4876280994409,1,0,['Developed Campground'],1000.0,21780,Sabillasville
106,8B813CCA-9522-490F-A477-1904540C69A3,Camping and Huts,kaww,46.1249342961593,-68.801462993981,2,22,[],,,
107,77D2C8BE-94A4-4550-9823-7183C50F4803,Canaveral National Seashore Backcountry Island Camping,cana,28.92700096310608,-80.82460296672082,14,0,['Designated Primitive Campsites'],20.0,32169,New Smyrna Beach
108,8C42E6D8-1819-46F3-A363-3C8107A1AFAC,Canyon Campground,yell,44.73538374887841,-110.48791238318904,273,0,['Developed Campground'],39.0,82190,Yellowstone National Park
109,ECDA4D3D-F3B7-4ED3-ABEA-9FDE0839E053,Canyon City,klgo,59.6075624,-135.3246672,11,0,[],54.6,99840,Skagway
110,85543439-6134-478E-8593-36D96471F5E6,Canyon View Campground,nava,,,3,10,[],0.0,86054,Shonto
111,3851B132-FEA2-45BD-9F47-CE177AC59489,Canyon View Campground,seki,36.78719293800008,-118.66544930776234,16,0,['Developed Campground'],50.0,93633,Kings Canyon National Park
112,C250A435-A020-4A92-A14F-1F9737B25F45,Cape Point Campground,caha,35.235775,-75.53911,202,0,['Developed Campground'],20.0,27920,Buxton
113,BD44D68E-2EAA-456B-842C-75136B035CB1,Caribou Island Campground,isro,48.094571206998936,-88.57220404720897,0,3,['Limited Development Campground'],0.0,49931,Houghton
114,1FEBD642-4DE4-49FD-9DF1-3EF8E499AC03,Carver Campground,buff,35.9835736001,-93.0401838004,0,8,['Limited Development Campground'],16.0,72641,Jasper
115,8B71E7E6-5EF0-49D8-8E33-2578A64A6DD5,Cataloochee Campground,grsm,35.631185945507,-83.08554127280615,27,0,['Developed Campground'],30.0,37876,Waynesville
116,CE2A760B-8A8F-4083-9E6F-3DB38B313145,Cave Creek Campground,orca,42.1139211881,-123.429613284,0,17,['Limited Development Campground'],10.0,97523,Cave Junction
117,DF24E937-0AA1-4E65-84A8-3F2458EFD1C5,Cedar Canyon Campground,lamr,35.79584,-101.24451,0,15,['Primitive Camping Areas'],0.0,79036,Fritch
118,92F73FF4-10AB-45D0-915E-AC0A063420E2,Cedar Pass Campground,badl,43.744154,-101.950161,96,0,['Limited Development Campground'],23.0,57750,Interior
119,89CB27D1-22A1-437E-9528-3D99DE6A22F0,Central Avenue Walk-in Sites,indu,41.70145327467744,-86.94854736328125,5,5,['Primitive Camping Areas'],25.0,46360,Michigan City
120,4AFE2D11-908E-489B-B8A0-A2222AE752A3,Central Campground,chic,34.5031796294,-96.9655507482,10,0,[],30.0,,
121,3D7C58EB-7354-4212-98E7-CCD7C13BC98F,Chapel Individual Backpacking Sites,piro,46.546925,-86.440929,6,0,[],5.0,,
122,3E73BA85-7545-4A30-9ACD-A9E3C073DB2A,Chimney Hollow Campground,lamr,35.6918602938,-101.642234005,0,0,[],0.0,79036,Fritch
123,ECF46E27-F335-4766-9140-56A8D2AAC209,Chippewa Harbor Campground,isro,48.02936725450616,-88.6510379097632,1,6,['Limited Development Campground'],0.0,49931,Houghton
124,B9D70C3C-FCA6-4E10-A654-8D0D2B38CAA7,Chisel Branch Hiker-Biker Campsite,choh,39.102158,-77.473011,0,1,['Designated Primitive Campsites'],0.0,20837,Poolesville
125,127199AC-A753-4B49-B3FF-1F8484B61CBE,Chisos Basin Campground,bibe,29.275900792177,-103.302285692397,56,0,['Developed Campground'],16.0,,
126,5529F57E-216A-47FB-B513-067410887BC0,Chopawamsic Backcountry Area,prwi,38.55876142507402,-77.40690973222598,8,0,['Primitive Camping Areas'],0.0,22172,Triangle
127,B6981A2D-2C0B-47DF-B7F8-67A25A35D24A,Cimarron Campground,cure,38.4443044882,-107.555542845,0,0,['Limited Development Campground'],16.0,,
128,0BB3AD5F-2DA4-48B2-AD2D-C52229037A3E,Cinnamon Bay Beach and Campground,viis,18.35231014634408,-64.75408127304699,50,0,['Developed Campground'],50.0,,
129,14084144-35CA-4862-96D8-72364E4A638B,Circle X Ranch Campground - CLOSED,samo,34.1112789977,-118.926525539,1,1,['Limited Development Campground'],9.0,90265,Malibu
